Category,Method,RMSE,Best_RMSE
Deep Learning,MAE (Baseline),1.0380245620884079,0.9460591886460689
Hybrid V2,Residual-RF,1.1466975168564857,1.1239407346571504
Pure Classical,Pure-KMeans (Pure),1.1472417883854524,1.1472417883854527
Hybrid V1,Hybrid-KMeans (V1),1.149170788379098,1.1491707883790983
Hybrid V2,Fused-KMeans,1.149170788379098,1.1491707883790983
Hybrid V1,Hybrid-MissForest (V1),1.15884019460256,1.1342778960120514
Hybrid V1,Hybrid-KNN (V1),1.1626122172974878,1.1340050579838195
Pure Classical,Pure-MissForest (Pure),1.1636412461240269,1.1636412461240266
Pure Classical,Pure-KNN (Pure),1.1766944591926665,1.1766944591926665
Hybrid V2,Residual-KNN,1.1801550996954928,1.1645821682144424
